results: Entity,Day,Count,Momentum,Positive,Negative
33312449,2009-06-30,402,0.312292,0.0631214,0.00960866
33312449,2009-07-01,532,0.346404,0.144929,0.00643605
33312449,2009-07-02,390,0.300569,0.0561254,0.00912657
33312449,2009-07-03,158,0.285902,0.0591117,0.0297226
33312449,2009-07-04,30,0.304251,0.0364791,0.0530839
33312449,2009-07-05,33,0.243121,0.111298,0.0233766
33312449,2009-07-06,345,0.242375,0.0839267,0.011444
33312449,2009-07-07,454,0.318955,0.0665303,0.0187352
33312449,2009-07-08,759,0.457462,0.0395781,0.0216472
33312449,2009-07-09,850,0.520019,0.0436558,0.0799437
33312449,2009-07-10,541,0.465858,0.0543879,0.00873103
33312449,2009-07-11,93,0.421708,0.0518607,0.00883375
33312449,2009-07-12,72,0.322836,0.0362743,0.0
33312449,2009-07-13,1302,0.61748,0.0489996,0.0127821
33312449,2009-07-14,943,0.727612,0.0619302,0.0140675
33312449,2009-07-15,931,0.717781,0.0752544,0.0159314
33312449,2009-07-16,718,0.476197,0.0638291,0.0148233
33312449,2009-07-17,796,0.450432,0.0491497,0.0168084
33312449,2009-07-18,208,0.456928,0.0540719,0.0178965
33312449,2009-07-19,101,0.360709,0.0536446,0.015485
33312449,2009-07-20,257,0.386578,0.0844721,0.0203469
33312449,2009-07-21,154,0.334743,0.0708822,0.0231798
33312449,2009-07-22,89,0.273572,0.0514865,0.0687401
33312449,2009-07-23,732,0.528782,0.058766,0.122472
33312449,2009-07-24,1289,0.670424,0.0391424,0.0916186
33312449,2009-07-25,283,0.690436,0.0404166,0.0164227
33312449,2009-07-26,94,0.506492,0.045346,0.0563648
33312449,2009-07-27,432,0.475012,0.0826456,0.0192475
33312449,2009-07-28,462,0.471538,0.0493285,0.0169732
33312449,2009-07-29,2642,0.734332,0.0568684,0.0231996
33312449,2009-07-30,1129,0.761741,0.0835444,0.0279563
33312449,2009-07-31,569,0.646516,0.0988091,0.0266258
33312449,2009-08-01,117,0.537725,0.0380696,0.00990619
33312449,2009-08-02,55,0.335178,0.0667859,0.0751358
33312449,2009-08-03,668,0.486188,0.0684779,0.0164045
33312449,2009-08-04,447,0.482842,0.0698273,0.0148193
33312449,2009-08-05,749,0.530374,0.0552766,0.0125348
33312449,2009-08-06,612,0.560142,0.0492756,0.0231527
33312449,2009-08-07,450,0.567343,0.0425625,0.0144033
33312449,2009-08-08,83,0.460611,0.0839338,0.0260241
33312449,2009-08-09,186,0.581785,0.0296155,0.00544083
33312449,2009-08-10,419,0.482688,0.0385577,0.00878589
33312449,2009-08-11,490,0.497812,0.0421131,0.0154381
33312449,2009-08-12,1186,0.680425,0.0670997,0.00820344
33312449,2009-08-13,1009,0.560278,0.0364749,0.0147614
33312449,2009-08-14,372,0.384422,0.0802118,0.0136967
33312449,2009-08-15,84,0.364566,0.0352991,0.0297395
33312449,2009-08-16,44,0.285465,0.125741,0.0104895
33312449,2009-08-17,384,0.305436,0.0718146,0.01344
33312449,2009-08-18,432,0.289917,0.109286,0.0139347
33312449,2009-08-19,713,0.357981,0.0640096,0.00983819
33312449,2009-08-20,392,0.308384,0.0634414,0.0170504
33312449,2009-08-21,726,0.412727,0.246541,0.00666881
33312449,2009-08-22,81,0.323017,0.0945543,0.00902256
33312449,2009-08-23,109,0.35148,0.0555998,0.0100085
33312449,2009-08-24,655,0.318095,0.0635177,0.00844913
33312449,2009-08-25,108,0.224578,0.0136524,0.0112168
33312449,2009-08-26,481,0.385495,0.0531257,0.011043
33312449,2009-08-27,859,0.476367,0.0508935,0.0618687
33312449,2009-08-28,332,0.437363,0.0580615,0.0561963
33312449,2009-08-29,88,0.426732,0.0345113,0.0136364
33312449,2009-08-30,70,0.313027,0.0710014,0.0401218
33312449,2009-08-31,344,0.3258,0.0512915,0.0290598
33312449,2009-09-01,591,0.388081,0.0474504,0.0112752
33312449,2009-09-02,475,0.378754,0.0584773,0.0385473
33312449,2009-09-03,347,0.36819,0.0392119,0.0313579
33312449,2009-09-04,488,0.475687,0.0549567,0.0161917
33312449,2009-09-05,120,0.416411,0.0517728,0.00929737
33312449,2009-09-06,70,0.308982,0.0785102,0.0120927
33312449,2009-09-07,143,0.258303,0.065383,0.018812
33312449,2009-09-08,593,0.349699,0.0930562,0.0199344
33312449,2009-09-09,618,0.4345,0.0667479,0.0114568
33312449,2009-09-10,602,0.396155,0.05049,0.0118532
33312449,2009-09-11,606,0.448079,0.0740935,0.0103118
33312449,2009-09-12,88,0.35583,0.0651125,0.0
33312449,2009-09-13,72,0.347346,0.08245,0.0108844
33312449,2009-09-14,675,0.496407,0.0479541,0.0147867
33312449,2009-09-15,727,0.522422,0.0667428,0.0115512
33312449,2009-09-16,652,0.567324,0.0545697,0.00793714
33312449,2009-09-17,759,0.541406,0.0696167,0.0107588
33312449,2009-09-18,652,0.48271,0.0937723,0.0203895
33312449,2009-09-19,179,0.467841,0.121015,0.0474608
33312449,2009-09-20,115,0.482304,0.107585,0.0170084
33312449,2009-09-21,425,0.368793,0.0513177,0.00755298
33312449,2009-09-22,813,0.502751,0.0743698,0.0132593
33312449,2009-09-23,788,0.534876,0.0661849,0.0223575
33312449,2009-09-24,779,0.609218,0.0439706,0.0297185
33312449,2009-09-25,319,0.474687,0.0596129,0.0134892
33312449,2009-09-26,101,0.403827,0.0428358,0.0020723
33312449,2009-09-27,93,0.374584,0.0535382,0.0201907
33312449,2009-09-28,280,0.302738,0.0820107,0.00761631
33312449,2009-09-29,681,0.548017,0.0517622,0.0302207
33312449,2009-09-30,622,0.545636,0.0659898,0.0334658
33312449,2009-10-01,485,0.466097,0.06519,0.0277084
33312449,2009-10-02,299,0.400754,0.0470954,0.0280456
33312449,2009-10-03,68,0.384916,0.0364323,0.0541067
33312449,2009-10-04,96,0.354196,0.0966659,0.0124975
33312449,2009-10-05,589,0.506674,0.0654561,0.0364286
33312449,2009-10-06,759,0.499944,0.0698109,0.0195072
33312449,2009-10-07,941,0.627862,0.0420812,0.0183927
33312449,2009-10-08,293,0.487269,0.0208947,0.0186797
33312449,2009-10-09,405,0.499916,0.0616887,0.014133
33312449,2009-10-10,116,0.469058,0.0654586,0.0248693
33312449,2009-10-11,105,0.413185,0.0157378,0.0591843
33312449,2009-10-12,392,0.380905,0.0744796,0.0766558
33312449,2009-10-13,544,0.447018,0.0824095,0.046002
33312449,2009-10-14,451,0.382753,0.0902142,0.0271316
33312449,2009-10-15,641,0.463145,0.068868,0.0486007
33312449,2009-10-16,373,0.448408,0.0566426,0.0184767
33312449,2009-10-17,127,0.444772,0.0497049,0.00670424
33312449,2009-10-18,128,0.446312,0.126898,0.0102927
33312449,2009-10-19,928,0.525887,0.0659076,0.0140244
33312449,2009-10-20,633,0.502833,0.0493458,0.0213022
33312449,2009-10-21,1027,0.576493,0.0618607,0.00880435
33312449,2009-10-22,1354,0.596617,0.0670421,0.0129347
33312449,2009-10-23,1268,0.657223,0.106109,0.0776027
33312449,2009-10-24,202,0.596583,0.0967021,0.0356395
33312449,2009-10-25,170,0.547839,0.0633124,0.0245078
33312449,2009-10-26,467,0.48624,0.086078,0.0214195
33312449,2009-10-27,510,0.499292,0.0581214,0.0151185
33312449,2009-10-28,509,0.3884,0.0647133,0.0160024
33312449,2009-10-29,349,0.37884,0.0334108,0.0160825
33312449,2009-10-30,330,0.386928,0.0645362,0.0226292
33312449,2009-10-31,62,0.307363,0.0650955,0.0026393
33312449,2009-11-01,124,0.329608,0.0359285,0.0477281
